中文名称,文件名,别名,英文名称,国籍,研发机构,任务类型,轨道类型,轨道高度,轨道倾角,运载火箭,发射日期,发射基地,设计寿命,质量,国际卫星标识符,NORAD,备注
QPS合成孔径雷达3号,"QPS-SAR 3, 4, 5.jpg",,QPS-SAR 3,日本,[[株式会社QPS研究所]],遥感（雷达）,,,,[[艾普斯龙]] CLPS,2022年10月12日,[[内之浦航天中心|内]] LP-M,,~100 kg,2022-F05,,QPS合成孔径雷达系列
QPS合成孔径雷达4号,"QPS-SAR 3, 4, 5.jpg",,QPS-SAR 4,日本,[[株式会社QPS研究所]],遥感（雷达）,,,,[[艾普斯龙]] CLPS,2022年10月12日,[[内之浦航天中心|内]] LP-M,,~100 kg,2022-F05,,QPS合成孔径雷达系列
和德二号G星,"HEAD 1, 2A, 2B, 2C, 2D, 2E, 2F, 3, 4, 5 (Hede 1, 2A, 2B, 2C, 2D, 2E, 2F, 3, 4, 5).jpg",,"HEAD 2G (Hede 2G, Jiaotong 4)",中国,[[八院]],通信（M2M/IoT）,,,,[[长征四号乙]],2022年08月4日,[[太原卫星发射中心|太原]] LC-9,2-3年,45 kg,2022-090,53346,和德卫星系列
和德二号H星,"HEAD 1, 2A, 2B, 2C, 2D, 2E, 2F, 3, 4, 5 (Hede 1, 2A, 2B, 2C, 2D, 2E, 2F, 3, 4, 5).jpg",,"HEAD 2H (Hede 2H, Jiaotong 5)",中国,[[八院]],通信（M2M/IoT）,,,,[[捷龙三号]],2022年12月9日,[[东方航天港]]（母港）,2-3年,45 kg,2022-167,54682,和德卫星系列
银河31,"Galaxy 31, 32, 35, 36.jpg",,Galaxy 31 (Galaxy 23R),美国,[[马克萨科技公司]],通信,[[GEO]],,,[[猎鹰9号]] v1.2 (Block 5)(ex),2022年11月12日,[[卡纳维拉尔角太空军基地|卡]] SLC-40,,,2022-153A,54243,银河卫星系列
银河32,"Galaxy 31, 32, 35, 36.jpg",,Galaxy 32 (Galaxy 17R),美国,[[马克萨科技公司]],通信,[[GEO]],,,[[猎鹰9号]] v1.2 (Block 5)(ex),2022年11月12日,[[卡纳维拉尔角太空军基地|卡]] SLC-40,,,2022-153B,54244,银河卫星系列
银河35,"Galaxy 31, 32, 35, 36.jpg",,Galaxy 35 (Galaxy 3CR),美国,[[马克萨科技公司]],通信,[[GEO]],,,[[阿丽亚娜5]]ECA+,2022年12月13日,[[圭亚那航天中心|圭]] ELA-3,,,2022-170A,54741,银河卫星系列
银河36,"Galaxy 31, 32, 35, 36.jpg",,Galaxy 36 (Galaxy 28R),美国,[[马克萨科技公司]],通信,[[GEO]],,,[[阿丽亚娜5]]ECA+,2022年12月13日,[[圭亚那航天中心|圭]] ELA-3,,,2022-170B,54742,银河卫星系列
微厘空间一号S3试验卫星,CentiSpace-1 S1 (Xiangrikui 1).jpg,,"CentiSpace-1 S3 (Weili Kongjian-1 S3, Xiangrikui 3)",中国,[[中国科学院]],技术试验 ?,,695 km × 708 km,98.22°,[[快舟一号甲]],2022年09月6日,[[酒泉卫星发射中心|酒泉]] LP-43/95B,,97 kg,2022-108A,53757,“微厘空间”卫星星座系列
微厘空间一号S4试验卫星,CentiSpace-1 S1 (Xiangrikui 1).jpg,,"CentiSpace-1 S4 (Weili Kongjian-1 S4, Xiangrikui 4)",中国,[[中国科学院]],技术试验 ?,,695 km × 708 km,98.22°,[[快舟一号甲]],2022年09月6日,[[酒泉卫星发射中心|酒泉]] LP-43/95B,,97 kg,2022-108B,53758,“微厘空间”卫星星座系列
微厘空间北斗低轨导航增强系统S5试验卫星,CentiSpace-1 S1 (Xiangrikui 1).jpg,,"CentiSpace-1 S5 (Weili Kongjian-1 S5, Xiangrikui 5)",中国,[[中国科学院]],技术试验 ?,,695 km × 708 km,98.22°,[[长征十一号]]H,2022年10月7日,[[东方航天港]]（母港）,,97 kg,2022-126A,54020,“微厘空间”卫星星座系列
微厘空间北斗低轨导航增强系统S6试验卫星,CentiSpace-1 S1 (Xiangrikui 1).jpg,,"CentiSpace-1 S6 (Weili Kongjian-1 S6, Xiangrikui 6)",中国,[[中国科学院]],技术试验 ?,,695 km × 708 km,98.22°,[[长征十一号]]H,2022年10月7日,[[东方航天港]]（母港）,,97 kg,2022-126B,54021,“微厘空间”卫星星座系列
圣彼得堡理工宇宙1号,"Polytech-Universe 1, 2.jpg",,Polytech-Universe 1,俄罗斯,,技术试验,,,,[[联盟2]]-1b Fregat,2022年08月9日,[[拜科努尔航天发射场|拜]] LC-31/6,,,2022-096,53370,
圣彼得堡理工宇宙2号,"Polytech-Universe 1, 2.jpg",,Polytech-Universe 2,俄罗斯,,技术试验,,,,[[联盟2]]-1b Fregat,2022年08月9日,[[拜科努尔航天发射场|拜]] LC-31/6,,,2022-096,53370,
O3b FM21,"O3b mPower 1, ..., 11 (O3b 21, ..., 31).jpg",,O3b mPower 1 (O3b FM21 ?),英国 (海峡群岛),[[波音公司]],通信,,7825 km,,[[猎鹰9号]] v1.2 (Block 5),2022年12月16日,[[卡纳维拉尔角太空军基地|卡]] SLC-40,10年,1700 kg,2022-174A,54755,O3b FM系列
O3b FM22,"O3b mPower 1, ..., 11 (O3b 21, ..., 31).jpg",,O3b mPower 2 (O3b FM22 ?),英国 (海峡群岛),[[波音公司]],通信,,7825 km,,[[猎鹰9号]] v1.2 (Block 5),2022年12月16日,[[卡纳维拉尔角太空军基地|卡]] SLC-40,10年,1700 kg,2022-174B,54756,O3b FM系列
欧洲通信卫星连接者VHTS,Eutelsat Konnect VHTS.jpg,,Eutelsat Konnect VHTS,国际,[[阿莱尼亚宇航公司]],通信,[[GEO]],,,[[阿丽亚娜5]]ECA+,2022年09月7日,[[圭亚那航天中心|圭]] ELA-3,15年,6396 kg,2022-110A,53765,欧洲通信卫星系列
夏尔巴LTC星2号,"Sherpa-LTC 1, 2.jpg",,Sherpa-LTC 2 (Varuna-TDM),美国,[[太空航行服务公司]],在轨服务,[[SSO]],500 km ; 1056 km,54°,[[猎鹰9号]] v1.2 (Block 5),2022年09月5日,[[卡纳维拉尔角太空军基地|卡]] SLC-40,2年 (#2),180 kg; 140 kg dry (#2),2022-107BE,53752,夏尔巴卫星系列
遥感三十三号02星,"Yaogan 29, 33, 33R.jpg",,"Yaogan 33-02 (YG 33-02, JB-x 4)",中国,[[八院]],遥感（雷达）,,682 km × 686 km,98.3°,[[长征四号丙]],2022年09月2日,[[酒泉卫星发射中心|酒泉]] LC-43/94,,,2022-106A,53698,中国遥感卫星系列
