中文名称,文件名,别名,英文名称,国籍,研发机构,任务类型,轨道类型,轨道高度,轨道倾角,运载火箭,发射日期,发射基地,设计寿命,质量,国际卫星标识符,NORAD,备注
宇宙2560号,"EO-MKA (EMKA, Zvesda ?).jpg",,"Kosmos 2560 (EO-MKA #3 ?, MKA-R ?)",俄罗斯,[[空间监控系统、信息和控制及机电综合体]] （初）; [[佩伦海外有限公司]] （相机）,,,328 km × 343 km,96.35°,[[安加拉]]-1.2,2022年10月15日,[[普列谢茨克航天发射场|普]] LC-35/1,,,2022-135A,54050,
遥感三十四号03星,Yaogan 34.jpg,,Yaogan 34-03,中国,[[八院]],遥感,,1083 km × 1105 km,63.38°,[[长征四号丙]],2022年11月15日,[[酒泉卫星发射中心|酒泉]] LC-43/94,,,2022-154A,54249,中国遥感卫星系列
“吉林一号”高分03D-08,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,Jilin-1 Gaofen-03D-08 (Jilin-1 High Resolution-03D-08),中国,[[长光卫星技术有限公司]],遥感,,,,[[谷神星一号]] (3),2022年11月16日,[[酒泉卫星发射中心|酒泉]] LC-43/95A,,42 kg,2022-155,54251,“吉林一号”高分卫星系列
“吉林一号”高分03D-09,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-09 (Jilin-1 High Resolution-03D-09, Xi'an Hangtou 1)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”高分卫星系列
“吉林一号”高分03D-35,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-35 (Jilin-1 High Resolution-03D-35, Dongpo 01)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”高分卫星系列
“吉林一号”高分03D-36,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-36 (Jilin-1 High Resolution-03D-36, Dongpo 02)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”高分卫星系列
“吉林一号”高分03D-37,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-37 (Jilin-1 High Resolution-03D-37, Dongpo 03)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”高分卫星系列
“吉林一号”高分03D-38,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-38 (Jilin-1 High Resolution-03D-38, Dongpo 04)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”高分卫星系列
“吉林一号”高分03D-39,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-39 (Jilin-1 High Resolution-03D-39, Dongpo 05)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”高分卫星系列
“吉林一号”高分03D-40,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-40 (Jilin-1 High Resolution-03D-40, Dongpo 06)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”高分卫星系列
“吉林一号”高分03D-41,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-41 (Jilin-1 High Resolution-03D-41, Dongpo 07)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”高分卫星系列
“吉林一号”高分03D-42,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-42 (Jilin-1 High Resolution-03D-42, Henan 1)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”高分卫星系列
“吉林一号”高分03D-43,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-43 (Jilin-1 High Resolution-03D-43, Puyin 1)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”高分卫星系列
“吉林一号”高分03D-44,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-44 (Jilin-1 High Resolution-03D-44, Dongpo 08)",中国,[[长光卫星技术有限公司]],遥感,,,,[[捷龙三号]],2022年12月9日,[[东方航天港]]（母港）,,42 kg,2022-167,54682,“吉林一号”高分卫星系列
“吉林一号”高分03D-45,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-45 (Jilin-1 High Resolution-03D-45, Dongpo 09)",中国,[[长光卫星技术有限公司]],遥感,,,,[[捷龙三号]],2022年12月9日,[[东方航天港]]（母港）,,42 kg,2022-167,54682,“吉林一号”高分卫星系列
“吉林一号”高分03D-46,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-46 (Jilin-1 High Resolution-03D-46, Dongpo 10)",中国,[[长光卫星技术有限公司]],遥感,,,,[[捷龙三号]],2022年12月9日,[[东方航天港]]（母港）,,42 kg,2022-167,54682,“吉林一号”高分卫星系列
“吉林一号”高分03D-47,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,Jilin-1 Gaofen-03D-47 (Jilin-1 High Resolution-03D-47),中国,[[长光卫星技术有限公司]],遥感,,,,[[捷龙三号]],2022年12月9日,[[东方航天港]]（母港）,,42 kg,2022-167,54682,“吉林一号”高分卫星系列
“吉林一号”高分03D-48,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,Jilin-1 Gaofen-03D-48 (Jilin-1 High Resolution-03D-48),中国,[[长光卫星技术有限公司]],遥感,,,,[[捷龙三号]],2022年12月9日,[[东方航天港]]（母港）,,42 kg,2022-167,54682,“吉林一号”高分卫星系列
“吉林一号”高分03D-49,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,Jilin-1 Gaofen-03D-49 (Jilin-1 High Resolution-03D-49),中国,[[长光卫星技术有限公司]],遥感,,,,[[捷龙三号]],2022年12月9日,[[东方航天港]]（母港）,,42 kg,2022-167,54682,“吉林一号”高分卫星系列
“吉林一号”高分03D-50,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,Jilin-1 Gaofen-03D-50 (Jilin-1 High Resolution-03D-50),中国,[[长光卫星技术有限公司]],遥感,,,,[[捷龙三号]],2022年12月9日,[[东方航天港]]（母港）,,42 kg,2022-167,54682,“吉林一号”高分卫星系列
“吉林一号”高分03D-51,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,Jilin-1 Gaofen-03D-51 (Jilin-1 High Resolution-03D-51),中国,[[长光卫星技术有限公司]],遥感,,,,[[谷神星一号]] (3),2022年11月16日,[[酒泉卫星发射中心|酒泉]] LC-43/95A,,42 kg,2022-155,54251,“吉林一号”高分卫星系列
“吉林一号”高分03D-52,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,Jilin-1 Gaofen-03D-52 (Jilin-1 High Resolution-03D-52),中国,[[长光卫星技术有限公司]],遥感,,,,[[谷神星一号]] (3),2022年11月16日,[[酒泉卫星发射中心|酒泉]] LC-43/95A,,42 kg,2022-155,54251,“吉林一号”高分卫星系列
“吉林一号”高分03D-53,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,Jilin-1 Gaofen-03D-53 (Jilin-1 High Resolution-03D-53),中国,[[长光卫星技术有限公司]],遥感,,,,[[谷神星一号]] (3),2022年11月16日,[[酒泉卫星发射中心|酒泉]] LC-43/95A,,42 kg,2022-155,54251,“吉林一号”高分卫星系列
“吉林一号”高分03D-54,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,Jilin-1 Gaofen-03D-54 (Jilin-1 High Resolution-03D-54),中国,[[长光卫星技术有限公司]],遥感,,,,[[谷神星一号]] (3),2022年11月16日,[[酒泉卫星发射中心|酒泉]] LC-43/95A,,42 kg,2022-155,54251,“吉林一号”高分卫星系列
莲花-S-6,Lotos-S1 (14F145).jpg,,"Kosmos 2565 (Lotos-S1 #6, №807)",俄罗斯,"[[进步火箭航天中心]] （平台）, [[兵器设计局]] （载荷）",军事,,901 km × 910 km,67.15°,[[联盟2]]-1b,2022年11月30日,[[普列谢茨克航天发射场|普]] LC-43/4,,,2022-163A,54381,莲花卫星系列
进步号MS-21,Progress-MS 01 - 22.jpg,,Progress-MS 21 (№451 ?),俄罗斯,,在轨服务（货运）,,400 km × 400 km （典型）,51.6°,[[联盟2]]-1a,2022年10月16日,[[拜科努尔航天发射场|拜]] LC-31/6,,7280 kg,2022-140A,54155,进步号系列
天舟五号,"Tianzhou 1, 2, 3, 4, 5 (TZ 1, 2, 3, 4, 5).jpg",,Tianzhou 5 (TZ 5),中国,,在轨服务（货运）,,400 km × 400 km,42.8°,[[长征七号]],2022年11月12日,[[文昌航天发射场|文昌]] LC-201,,12910 kg (#1),2022-152A,54237,天舟货运飞船系列
天鹅座货运飞船18号,Cygnus-PCM (enhanced).jpg,,"Cygnus CRS-18 (NG 18, SS Sally Ride)",美国,[[轨道科学公司]] (OSC),在轨服务（货运）,,400 km × 400 km （典型）,51.6°,[[安塔瑞斯]]-230+,2022年11月7日,[[沃洛普斯飞行设施|沃]]-0A,66天,7492 kg (#4),2022-149A,54232,天鹅座货运飞船系列
试验二十号A星,"SY 20A, 20B, 20C.jpg",,SY 20A,中国,[[中国科学院]],技术试验,,,,[[长征四号丙]],2022年12月12日,[[酒泉卫星发射中心|酒泉]] LP-43/95,,,2022-169,54699,试验卫星系列
试验二十号B星,"SY 20A, 20B, 20C.jpg",,SY 20B,中国,[[中国科学院]],技术试验,,,,[[长征四号丙]],2022年12月12日,[[酒泉卫星发射中心|酒泉]] LP-43/95,,,2022-169,54699,试验卫星系列
试验二十号C星,"SY 20A, 20B, 20C.jpg",,SY 20C,中国,[[中国科学院]],技术试验,,,,[[长征二号丁]] (2),2022年10月29日,[[酒泉卫星发射中心|酒泉]] LP-43/95,,,2022-142A,54214,试验卫星系列
美国334号,"USA 334, 335 (NROL 162, 199).jpg",,USA 334 (NROL 162),"美国, 澳大利亚",?,?,,,,[[电子号]] KS,2022年07月13日,[[火箭实验室发射综合体1号|火]] LC-1A,,,2022-079A,53102,“美国”卫星系列
美国335号,"USA 334, 335 (NROL 162, 199).jpg",,USA 335 (NROL 199),"美国, 澳大利亚",?,?,,,,[[电子号]] KS,2022年08月4日,[[火箭实验室发射综合体1号|火]] LC-1B,,,2022-091A,53352,“美国”卫星系列
遥感三十五号03组A星,"Yaogan 35-01A/B, 35-02A/B, 35-03A/B, 35-04A/B, 35-05A/B.jpg",,Yaogan 35-03A,中国,[[中国东方红卫星股份有限公司|北京东方红]],遥感,,,,[[长征二号丁]] (2),2022年07月29日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-088A,53316,中国遥感卫星系列
遥感三十五号03组B星,"Yaogan 35-01A/B, 35-02A/B, 35-03A/B, 35-04A/B, 35-05A/B.jpg",,Yaogan 35-03B,中国,[[中国东方红卫星股份有限公司|北京东方红]],遥感,,,,[[长征二号丁]] (2),2022年07月29日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-088C,53318,中国遥感卫星系列
遥感三十五号04组A星,"Yaogan 35-01A/B, 35-02A/B, 35-03A/B, 35-04A/B, 35-05A/B.jpg",,Yaogan 35-04A,中国,[[中国东方红卫星股份有限公司|北京东方红]],遥感,,,,[[长征二号丁]] (2),2022年08月19日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-100A,53522,中国遥感卫星系列
遥感三十五号04组B星,"Yaogan 35-01A/B, 35-02A/B, 35-03A/B, 35-04A/B, 35-05A/B.jpg",,Yaogan 35-04B,中国,[[中国东方红卫星股份有限公司|北京东方红]],遥感,,,,[[长征二号丁]] (2),2022年08月19日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-100C,53524,中国遥感卫星系列
遥感三十五号05组A星,"Yaogan 35-01A/B, 35-02A/B, 35-03A/B, 35-04A/B, 35-05A/B.jpg",,Yaogan 35-05A,中国,[[中国东方红卫星股份有限公司|北京东方红]],遥感,,,,[[长征二号丁]] (2),2022年09月6日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-109A,53760,中国遥感卫星系列
遥感三十五号05组B星,"Yaogan 35-01A/B, 35-02A/B, 35-03A/B, 35-04A/B, 35-05A/B.jpg",,Yaogan 35-05B,中国,[[中国东方红卫星股份有限公司|北京东方红]],遥感,,,,[[长征二号丁]] (2),2022年09月6日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-109B,53761,中国遥感卫星系列
四维高景二号01星,"Siwei Gaojing 2-01, 02, 03, 04 (SuperView Neo 1-01, 02, 03, 04).jpg",,Siwei Gaojing 2-01 (SuperView Neo 2-01),中国,[[五院]],遥感,,,,[[长征二号丙]] (3),2022年07月15日,[[太原卫星发射中心|太原]] LC-9,,540 kg,2022-082A,53128,中国遥感卫星系列
四维高景二号02星,"Siwei Gaojing 2-01, 02, 03, 04 (SuperView Neo 1-01, 02, 03, 04).jpg",,Siwei Gaojing 2-02 (SuperView Neo 2-02),中国,[[五院]],遥感,,,,[[长征二号丙]] (3),2022年07月15日,[[太原卫星发射中心|太原]] LC-9,,540 kg,2022-082C,53130,中国遥感卫星系列
遥感三十六号01组A星,"Yaogan 36-01A/B, 36-02A/B, 36-03A/B, 36-04A/B.jpg",,Yaogan 36-01A,中国,[[中国东方红卫星股份有限公司|北京东方红]],遥感,,,,[[长征二号丁]] (2),2022年09月26日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-120A,53943,中国遥感卫星系列
遥感三十六号01组B星,"Yaogan 36-01A/B, 36-02A/B, 36-03A/B, 36-04A/B.jpg",,Yaogan 36-01B,中国,[[中国东方红卫星股份有限公司|北京东方红]],遥感,,,,[[长征二号丁]] (2),2022年09月26日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-120D,53946,中国遥感卫星系列
遥感三十六号02组A星,"Yaogan 36-01A/B, 36-02A/B, 36-03A/B, 36-04A/B.jpg",,Yaogan 36-02A,中国,[[中国东方红卫星股份有限公司|北京东方红]],遥感,,,,[[长征二号丁]] (2),2022年10月14日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-133A,54042,中国遥感卫星系列
遥感三十六号02组B星,"Yaogan 36-01A/B, 36-02A/B, 36-03A/B, 36-04A/B.jpg",,Yaogan 36-02B,中国,[[中国东方红卫星股份有限公司|北京东方红]],遥感,,,,[[长征二号丁]] (2),2022年10月14日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-133B,54043,中国遥感卫星系列
遥感三十六号03组A星,"Yaogan 36-01A/B, 36-02A/B, 36-03A/B, 36-04A/B.jpg",,Yaogan 36-03A,中国,[[中国东方红卫星股份有限公司|北京东方红]],遥感,,,,[[长征二号丁]] (2),2022年11月27日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-160,54372,中国遥感卫星系列
遥感三十六号03组B星,"Yaogan 36-01A/B, 36-02A/B, 36-03A/B, 36-04A/B.jpg",,Yaogan 36-03B,中国,[[中国东方红卫星股份有限公司|北京东方红]],遥感,,,,[[长征二号丁]] (2),2022年11月27日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-160,54372,中国遥感卫星系列
遥感三十六号04组A星,"Yaogan 36-01A/B, 36-02A/B, 36-03A/B, 36-04A/B.jpg",,Yaogan 36-04A,中国,[[中国东方红卫星股份有限公司|北京东方红]],遥感,,,,[[长征二号丁]] (2),2022年12月14日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-171,54746,中国遥感卫星系列
遥感三十六号04组B星,"Yaogan 36-01A/B, 36-02A/B, 36-03A/B, 36-04A/B.jpg",,Yaogan 36-04B,中国,[[中国东方红卫星股份有限公司|北京东方红]],遥感,,,,[[长征二号丁]] (2),2022年12月14日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-171,54746,中国遥感卫星系列
遥感三十五号03组C星,"Yaogan 35-01C, 35-03C, 35-03C, 35-04C, 35-05C.jpg",,Yaogan 35-03C,中国,[[八院]],遥感,,,,[[长征二号丁]] (2),2022年07月29日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-088E,53320,中国遥感卫星系列
遥感三十五号04组C星,"Yaogan 35-01C, 35-03C, 35-03C, 35-04C, 35-05C.jpg",,Yaogan 35-04C,中国,[[八院]],遥感,,,,[[长征二号丁]] (2),2022年08月19日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-100E,53526,中国遥感卫星系列
遥感三十五号05组C星,"Yaogan 35-01C, 35-03C, 35-03C, 35-04C, 35-05C.jpg",,Yaogan 35-05C,中国,[[八院]],遥感,,,,[[长征二号丁]] (2),2022年09月6日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-109D,53763,中国遥感卫星系列
试验十六号A星,"SY 16A, 16B.jpg",,SY 16A,中国,[[八院]],技术试验,,,,[[长征六号]],2022年09月26日,[[太原卫星发射中心|太原]] LC-16,,,2022-121,53948,试验卫星系列
试验十六号B星,"SY 16A, 16B.jpg",,SY 16B,中国,[[八院]],技术试验,,,,[[长征六号]],2022年09月26日,[[太原卫星发射中心|太原]] LC-16,,,2022-121,53948,试验卫星系列
创新十六号A星,"CX 16A, 16B.jpg",,CX 16A,中国,[[中国科学院]],技术试验 ?,,,,[[快舟一号甲]],2022年08月23日,[[西昌卫星发射中心|西昌]],,,2022-102A,53586,
创新十六号B星,"CX 16A, 16B.jpg",,CX 16B,中国,[[中国科学院]],技术试验 ?,,,,[[快舟一号甲]],2022年08月23日,[[西昌卫星发射中心|西昌]],,,2022-102B,53876,
斯科尔科技B1,"Skoltech B1, B2.jpg",,Skoltech B1,俄罗斯,[[斯科尔科沃科技大学]],技术试验,,,,[[联盟2]]-1b Fregat,2022年08月9日,[[拜科努尔航天发射场|拜]] LC-31/6,,,2022-096,53370,
斯科尔科技B2,"Skoltech B1, B2.jpg",,Skoltech B2,俄罗斯,[[斯科尔科沃科技大学]],技术试验,,,,[[联盟2]]-1b Fregat,2022年08月9日,[[拜科努尔航天发射场|拜]] LC-31/6,,,2022-096,53370,
遥感三十六号01组C星,"Yaogan 36-01C, 36-02C, 36-03C, 36-04C.jpg",,Yaogan 36-01C,中国,[[八院]],遥感,,,,[[长征二号丁]] (2),2022年09月26日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-120E,53947,中国遥感卫星系列
遥感三十六号02组C星,"Yaogan 36-01C, 36-02C, 36-03C, 36-04C.jpg",,Yaogan 36-02C,中国,[[八院]],遥感,,,,[[长征二号丁]] (2),2022年10月14日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-133D,54045,中国遥感卫星系列
遥感三十六号03组C星,"Yaogan 36-01C, 36-02C, 36-03C, 36-04C.jpg",,Yaogan 36-03C,中国,[[八院]],遥感,,,,[[长征二号丁]] (2),2022年11月27日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-160,54372,中国遥感卫星系列
遥感三十六号04组C星,"Yaogan 36-01C, 36-02C, 36-03C, 36-04C.jpg",,Yaogan 36-04C,中国,[[八院]],遥感,,,,[[长征二号丁]] (2),2022年12月14日,[[西昌卫星发射中心|西昌]] LC-3,,,2022-171,54746,中国遥感卫星系列
马格纳罗A,"MAGNARO A, B.jpg",,MAGNARO A,日本,[[名古屋大学]],技术试验,,,,[[艾普斯龙]] CLPS,2022年10月12日,[[内之浦航天中心|内]] LP-M,,,2022-F05,,
马格纳罗B,"MAGNARO A, B.jpg",,MAGNARO B,日本,[[名古屋大学]],技术试验,,,,[[艾普斯龙]] CLPS,2022年10月12日,[[内之浦航天中心|内]] LP-M,,,2022-F05,,
非洲珍珠卫星1号,"Bird B, BTN, G, J, JPN, LKA, M, MYS, N, NPL, PHL(BRAC Onnesha, Bhutan 1, GhanaSat 1, Toki, Uguisu, Raavana 1, Mazaalai, UiTMSAT 1, EduSat 1, NepaliSat 1, Maya 1).jpg",,PearlAfricaSat 1,"日本, 孟加拉国, 加纳, 蒙古国, 尼日利亚, 菲律宾, 不丹, 马来西亚, 尼泊尔, 斯里兰卡, 巴拉圭, 乌干达, 津巴布韦",[[九州工业大学]] (Kyutech),技术试验，科学与教育,,400 km × 400 km （典型）,51.6°,[[安塔瑞斯]]-230+,2022年11月7日,[[沃洛普斯飞行设施|沃]]-0A,~ 6个月,1 kg,,,鸟卫星系列
津巴布韦卫星1号,"Bird B, BTN, G, J, JPN, LKA, M, MYS, N, NPL, PHL(BRAC Onnesha, Bhutan 1, GhanaSat 1, Toki, Uguisu, Raavana 1, Mazaalai, UiTMSAT 1, EduSat 1, NepaliSat 1, Maya 1).jpg",,ZimSat 1,"日本, 孟加拉国, 加纳, 蒙古国, 尼日利亚, 菲律宾, 不丹, 马来西亚, 尼泊尔, 斯里兰卡, 巴拉圭, 乌干达, 津巴布韦",[[九州工业大学]] (Kyutech),技术试验，科学与教育,,400 km × 400 km （典型）,51.6°,[[安塔瑞斯]]-230+,2022年11月7日,[[沃洛普斯飞行设施|沃]]-0A,~ 6个月,1 kg,,,鸟卫星系列
银河33,"Galaxy 33, 34.jpg",,Galaxy 33 (Galaxy 15R),美国,[[诺思罗普·格鲁曼]]创新系统 (NGIS) (前身是 [[轨道ATK公司]]),通信,[[GEO]],,,[[猎鹰9号]] v1.2 (Block 5),2022年10月8日,[[卡纳维拉尔角太空军基地|卡]] SLC-40,15年,3654 kg (#33); 3695 kg (#34),2022-128A,54026,银河卫星系列
