卫星,image,中文名称,英文名称,国籍,研发机构,任务类型,轨道类型,轨道高度,轨道倾角,运载火箭,发射日期,发射基地,设计寿命,质量,国际卫星标识符,NORAD,备注,文件名
试验二十号B星,"SY 20A, 20B, 20C",,SY 20B,China,CAS Microsat,Technology,,,,CZ-4C,2022年12月12日,Jq LP-43/95,,,2022-169,,试验卫星系列,
试验二十号C星,"SY 20A, 20B, 20C",,SY 20C,China,CAS Microsat,Technology,,,,CZ-2D (2),2022年10月29日,Jq LP-43/95,,,2022-142A,,试验卫星系列,
美国334号,"USA 334, 335 (NROL 162, 199)",,USA 334 (NROL 162),"USA, Australia",?,?,,,,Electron KS,2022年7月13日,OnS LC-1A,,,2022-079A,,“美国”卫星系列,
美国335号,"USA 334, 335 (NROL 162, 199)",,USA 335 (NROL 199),"USA, Australia",?,?,,,,Electron KS,2022年8月4日,OnS LC-1B,,,2022-091A,,“美国”卫星系列,
遥感三十五号03组A星,"Yaogan 35-01A/B, 35-02A/B, 35-03A/B, 35-04A/B, 35-05A/B",,Yaogan 35-03A,China,DFH Satellite (Beijing),Earth observation or SIGINT ?,,,,CZ-2D (2),2022年7月29日,Xi LC-3,,,2022-088A,,中国遥感卫星系列,
遥感三十五号03组B星,"Yaogan 35-01A/B, 35-02A/B, 35-03A/B, 35-04A/B, 35-05A/B",,Yaogan 35-03B,China,DFH Satellite (Beijing),Earth observation or SIGINT ?,,,,CZ-2D (2),2022年7月29日,Xi LC-3,,,2022-088C,,中国遥感卫星系列,
遥感三十五号04组A星,"Yaogan 35-01A/B, 35-02A/B, 35-03A/B, 35-04A/B, 35-05A/B",,Yaogan 35-04A,China,DFH Satellite (Beijing),Earth observation or SIGINT ?,,,,CZ-2D (2),2022年8月19日,Xi LC-3,,,2022-100A,,中国遥感卫星系列,
遥感三十五号04组B星,"Yaogan 35-01A/B, 35-02A/B, 35-03A/B, 35-04A/B, 35-05A/B",,Yaogan 35-04B,China,DFH Satellite (Beijing),Earth observation or SIGINT ?,,,,CZ-2D (2),2022年8月19日,Xi LC-3,,,2022-100C,,中国遥感卫星系列,
遥感三十五号05组A星,"Yaogan 35-01A/B, 35-02A/B, 35-03A/B, 35-04A/B, 35-05A/B",,Yaogan 35-05A,China,DFH Satellite (Beijing),Earth observation or SIGINT ?,,,,CZ-2D (2),2022年9月6日,Xi LC-3,,,2022-109A,,中国遥感卫星系列,
遥感三十五号05组B星,"Yaogan 35-01A/B, 35-02A/B, 35-03A/B, 35-04A/B, 35-05A/B",,Yaogan 35-05B,China,DFH Satellite (Beijing),Earth observation or SIGINT ?,,,,CZ-2D (2),2022年9月6日,Xi LC-3,,,2022-109B,,中国遥感卫星系列,
四维高景二号01星,"Siwei Gaojing 2-01, 02, 03, 04 (SuperView Neo 1-01, 02, 03, 04)",,Siwei Gaojing 2-01 (SuperView Neo 2-01),China,CAST,Earth obseervation,,,,CZ-2C (3),2022年7月15日,TY LC-9,,540 kg,2022-082A,,中国遥感卫星系列,
四维高景二号02星,"Siwei Gaojing 2-01, 02, 03, 04 (SuperView Neo 1-01, 02, 03, 04)",,Siwei Gaojing 2-02 (SuperView Neo 2-02),China,CAST,Earth obseervation,,,,CZ-2C (3),2022年7月15日,TY LC-9,,540 kg,2022-082C,,中国遥感卫星系列,
遥感三十六号01组A星,"Yaogan 36-01A/B, 36-02A/B, 36-03A/B, 36-04A/B",,Yaogan 36-01A,China,DFH Satellite (Beijing),Earth observation or SIGINT ?,,,,CZ-2D (2),2022年9月26日,Xi LC-3,,,2022-120A,,中国遥感卫星系列,
遥感三十六号01组B星,"Yaogan 36-01A/B, 36-02A/B, 36-03A/B, 36-04A/B",,Yaogan 36-01B,China,DFH Satellite (Beijing),Earth observation or SIGINT ?,,,,CZ-2D (2),2022年9月26日,Xi LC-3,,,2022-120D,,中国遥感卫星系列,
遥感三十六号02组A星,"Yaogan 36-01A/B, 36-02A/B, 36-03A/B, 36-04A/B",,Yaogan 36-02A,China,DFH Satellite (Beijing),Earth observation or SIGINT ?,,,,CZ-2D (2),2022年10月14日,Xi LC-3,,,2022-133A,,中国遥感卫星系列,
