数据集（可能重复）,中文名,外文名,性别,国籍,出生日期（请小心bug）,逝世日期,逝世日期（请小心bug）,职业,毕业院校,地位或主要成就,重定向,载人航天任务时长,舱外任务时长,编辑状态
"*{{Flagicon|USA}} [[Neil Armstrong]] (1930–2012) △▲ — [[Gemini 8]], [[Apollo 11]]. First person to walk on the Moon.<ref name=""gemini8"">{{cite web|url=https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=1966-020A|title=Gemini 8|access-date=2009-10-12}}</ref><ref name=""apollo11"">{{cite web|url=https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=1969-059A|title=Apollo 11 Command and Service Module (CSM)|access-date=2009-10-12}}</ref>",,,,USA}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Oleg Artemyev]] — [[Soyuz TMA-12M]], [[Soyuz MS-08]], [[Soyuz MS-21]]",,,,RUS}},,,,,,,,,,
"*{{Flagicon|USA}} [[Richard R. Arnold]] — [[STS-119]], [[Soyuz MS-08]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USSR}} [[Anatoly Artsebarsky]] — [[Soyuz TM-12]]<!-- was a Soviet citizen at launch-->,,,,USSR},,,,,,,,,,
*{{Flagicon|USSR}} [[Yuri Artyukhin]] (1930–1998) — [[Soyuz 14]],,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Jeffrey Ashby]] — [[STS-93]], [[STS-100]], [[STS-112]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USSR}} [[Oleg Atkov]] — [[Soyuz T-10]]/[[Soyuz T-11|11]],,,,USSR},,,,,,,,,,
*{{Flagicon|USSR}} [[Toktar Aubakirov]] — [[Soyuz TM-13]]/[[Soyuz TM-12|12]],,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Serena M. Auñón-Chancellor]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[Soyuz MS-09]], [[Expedition 56]]/[[Expedition 57|57]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Sergei Avdeyev]] — [[Soyuz TM-15]], [[Soyuz TM-22]]",,,,RUS}},,,,,,,,,,
"*{{Flagicon|USA}} [[James P. Bagian]], M.D. — [[STS-29]], [[STS-40]]",,,,,,,,,,,,,,
"*{{Flagicon|USA}} [[Ellen S. Baker]], M.D.<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-34]], [[STS-50]], [[STS-71]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Michael A. Baker|Michael Baker]] — [[STS-43]], [[STS-52]], [[STS-68]], [[STS-81]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USSR}} [[Aleksandr Nikolayevich Balandin|Aleksandr Balandin]] — [[Soyuz TM-9]],,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Michael R. Barratt]], M.D. — [[Soyuz TMA-14]], [[STS-133]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Kayla Barron]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup>— [[SpaceX Crew-3]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Daniel T. Barry|Daniel Barry]] — [[STS-72]], [[STS-96]], [[STS-105]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[John-David F. Bartoe]] — [[STS-51-F]],,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Charles Bassett|Charlie Bassett]] (1931–1966) — No flights. Originally assigned to [[Gemini 9]].,,,,USA}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Yuri Baturin]] — [[Soyuz TM-28]]/[[Soyuz TM-27|27]], [[Soyuz TM-32]]/[[Soyuz TM-31|31]]",,,,RUS}},,,,,,,,,,
*{{Flagicon|FRA}} [[Patrick Baudry]] — [[STS-51-G]],,,,FRA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Alan Bean]] (1932–2018) △▲ — [[Apollo 12]], [[Skylab 3]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Robert L. Behnken]] — [[STS-123]], [[STS-130]], [[Crew Dragon Demo-2]]",,,,USA}},,,,,,,,,,
*{{Flagicon|SVK}} [[Ivan Bella]] — [[Soyuz TM-29]]/[[Soyuz TM-28|28]],,,,SVK}},,,,,,,,,,
*{{Flagicon|USSR}} [[Pavel Belyayev]] (1925–1970) — [[Voskhod 2]],,,,USSR},,,,,,,,,,
*{{Flagicon|USSR}} [[Georgi Beregovoi]] (1921–1995) — [[Soyuz 3]],,,,USSR},,,,,,,,,,
*{{Flagicon|USSR}} [[Anatoli Berezovoy]] (1942–2014) — [[Soyuz T-5]]/[[Soyuz T-7|7]],,,,USSR},,,,,,,,,,
*{{Flagicon|USA}} [[Brian Binnie]] — [[SpaceShipOne flight 17P]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[John E. Blaha|John Blaha]] — [[STS-29]], [[STS-33]], [[STS-43]], [[STS-58]], [[STS-79]]/[[STS-81|81]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Michael J. Bloomfield]] — [[STS-86]], [[STS-97]], [[STS-110]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Guion Bluford]] — [[STS-8]], [[STS-61-A]], [[STS-39]], [[STS-53]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Karol J. Bobko|Karol Bobko]] — [[STS-6]], [[STS-51-D]], [[STS-51-J]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Eric A. Boe]] — [[STS-126]], [[STS-133]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Charles F. Bolden, Jr.|Charles Bolden]] — [[STS-61-C]], [[STS-31]], [[STS-45]], [[STS-60]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|CAN}} [[Roberta Bondar]], M.D.<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-42]]",,,,CAN}},,,,,,,,,,
*{{Flagicon|USSR}} [[Valentin Bondarenko]] (1937–1961) † — No flights. Died from a training-related fire accident.,,,,USSR},,,,,,,,,,
"*{{Flagicon|RUS}} [[Andrei Borisenko]] — [[Soyuz TMA-21]], [[Soyuz MS-02]]",,,,RUS}},,,,,,,,,,
"*{{Flagicon|USA}} [[Frank Borman]] △ — [[Gemini 7]], [[Apollo 8]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Stephen G. Bowen]] — [[STS-126]], [[STS-132]], [[STS-133]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Ken Bowersox|Kenneth Bowersox]] — [[STS-50]], [[STS-61]], [[STS-73]], [[STS-82]], [[STS-113]]/[[Soyuz TMA-1]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Charles E. Brady, Jr.]], M.D. (1951–2006) — [[STS-78]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Vance D. Brand|Vance Brand]] — [[Apollo-Soyuz Test Project]], [[STS-5]], [[STS-41-B]], [[STS-35]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Daniel Brandenstein]] — [[STS-8]], [[STS-51-G]], [[STS-32]], [[STS-49]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Randolph Bresnik]] — [[STS-129]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Roy D. Bridges, Jr.|Roy Bridges]] — [[STS-51-F]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Curtis Brown (astronaut)|Curtis Brown]] — [[STS-47]], [[STS-66]], [[STS-77]], [[STS-85]], [[STS-95]], [[STS-103]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[David M. Brown]] (1956–2003) † — Died in the [[Space Shuttle Columbia disaster|''Columbia'' reentry disintegration]] ([[STS-107]]),,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Mark N. Brown|Mark Brown]] — [[STS-28]], [[STS-48]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[James Buchli]] — [[STS-51-C]], [[STS-61-A]], [[STS-29]], [[STS-48]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Jay C. Buckey]], M.D. — [[STS-90]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Nikolai Budarin]] — [[STS-71]]/[[Soyuz TM-21]], [[Soyuz TM-27]], [[STS-113]]/[[Soyuz TMA-1]]",,,,RUS}},,,,,,,,,,
*{{Flagicon|USA}} [[John S. Bull]] (1934–2008) — No flights.,,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Daniel C. Burbank|Daniel Burbank]] — [[STS-106]], [[STS-115]], [[Soyuz TMA-22]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Daniel W. Bursch|Daniel Bursch]] — [[STS-51]], [[STS-68]], [[STS-77]], [[STS-108]]/[[STS-111|111]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Valery Bykovsky]] — [[Vostok 5]], [[Soyuz 22]], [[Soyuz 31]]/[[Soyuz 29|29]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Robert D. Cabana]] — [[STS-41]], [[STS-53]], [[STS-65]], [[STS-88]]",,,,,,,,,,,,,,
"*{{Flagicon|USA}} [[Yvonne Cagle]], M.D.<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — No flights.",,,,USA}},,,,,,,,,,
*{{Flagicon|CHN}} [[Cai Xuzhe]] — [[Shenzhou 14]],,,,CHN}},,,,,,,,,,
*{{Flagicon|USA}} [[Fernando Caldeiro]] (1958–2009) — No flights.,,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Charles Camarda]] — [[STS-114]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Kenneth D. Cameron]] — [[STS-37]], [[STS-56]], [[STS-74]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Zena Cardman]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — No flights.,,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Duane G. Carey]] — [[STS-109]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Scott Carpenter]] (1925–2013) — [[Mercury-Atlas 7|Mercury 7]]<ref name=""mercury7"">{{cite web|url=https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=1962-019A|title=Mercury Atlas 7|access-date=2009-10-12}}</ref>",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Gerald Carr (astronaut)|Gerald Carr]] (1932-2020) — [[Skylab 4]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Sonny Carter]], M.D. (1947–1991) — [[STS-33]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[John Casper]] — [[STS-36]], [[STS-54]], [[STS-62]], [[STS-77]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Josh A. Cassada|Josh Cassada]] — [[SpaceX Crew-5]],,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Christopher Cassidy]] — [[STS-127]] [[Soyuz MS-16]],,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Robert J. Cenker]] — [[STS-61-C]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Eugene Cernan]] (1934–2017) △▲ — [[Gemini 9A]], [[Apollo 10]], [[Apollo 17]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Roger B. Chaffee]] (1935–1967) † — Died in the [[Apollo 1]] fire accident.,,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Gregory Chamitoff]] — [[STS-124]]/[[STS-126|126]], [[STS-134]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|CRC}} {{Flagicon|USA}} [[Franklin Chang-Diaz]] — [[STS-61-C]], [[STS-34]], [[STS-46]], [[STS-60]], [[STS-75]], [[STS-91]], [[STS-111]]",,,,CRC}},,,,,,,,,,
*{{Flagicon|AUS}} {{Flagicon|USA}} [[Philip K. Chapman]] — No flights.,,,,AUS}},,,,,,,,,,
*{{Flagicon|USA}} [[Raja Chari]] — [[SpaceX Crew-3]],,,,USA}},,,,,,,,,,
*{{Flagicon|IND}} {{Flagicon|USA}} [[Kalpana Chawla]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> (1961–2003) † — [[STS-87]]. Died in the [[Space Shuttle Columbia disaster|''Columbia'' reentry disintegration]] ([[STS-107]]).,,,,IND}},,,,,,,,,,
*{{Flagicon|ITA}} [[Maurizio Cheli]] — [[STS-75]],,,,ITA}},,,,,,,,,,
"*{{Flagicon|PRC}} [[Chen Dong (astronaut)|Chen Dong]] — [[Shenzhou 11]], [[Shenzhou 14]].",,,,PRC}},,,,,,,,,,
*{{Flagicon|PRC}} [[Chen Quan]] — No flights. Backup for Shenzhou 7.,,,,PRC}},,,,,,,,,,
"*{{Flagicon|USA}} [[Leroy Chiao]] — [[STS-65]], [[STS-72]], [[STS-92]], [[Soyuz TMA-5]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Kevin P. Chilton]] — [[STS-49]], [[STS-59]], [[STS-76]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|FRA}} [[Jean-Loup Chrétien]] — [[Soyuz T-6]], [[Soyuz TM-7]]/[[Soyuz TM-6|6]], [[STS-86]]",,,,FRA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Laurel B. Clark]], M.D.<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> (1961–2003) † — Died in the [[Space Shuttle Columbia disaster|''Columbia'' reentry disintegration]] ([[STS-107]])",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Mary L. Cleave]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-61-B]], [[STS-30]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|FRA}} [[Jean-François Clervoy]], EAC — [[STS-66]], [[STS-84]], [[STS-103]]",,,,FRA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Michael R. Clifford]] — [[STS-53]], [[STS-59]], [[STS-76]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Michael Coats]] — [[STS-41-D]], [[STS-29]], [[STS-39]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Kenneth Cockrell]] — [[STS-56]], [[STS-69]], [[STS-80]], [[STS-98]], [[STS-111]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Catherine Coleman]]<sup> [[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-73]], [[STS-93]], [[Soyuz TMA-20]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Eileen Collins]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-63]], [[STS-84]], [[STS-93]], [[STS-114]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Michael Collins (astronaut)|Michael Collins]] (1930-2021) △ — [[Gemini 10]], [[Apollo 11]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Pete Conrad|Charles ""Pete"" Conrad]] (1930–1999) △▲ — [[Gemini 5]], [[Gemini 11]], [[Apollo 12]], [[Skylab 2]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Gordon Cooper]] (1927–2004) — [[Mercury-Atlas 9|Mercury 9]], [[Gemini 5]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Richard O. Covey]] — [[STS-51-I]], [[STS-26]], [[STS-38]], [[STS-61]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Timothy Creamer]] — [[Soyuz TMA-17]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[John O. Creighton]] — [[STS-51-G]], [[STS-36]], [[STS-48]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Robert Crippen]] — [[STS-1]], [[STS-7]], [[STS-41-C]], [[STS-41-G]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|ITA}} [[Samantha Cristoforetti]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[Soyuz TMA-15M]], [[SpaceX Crew-4]] (2022)",,,,ITA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Roger K. Crouch]] — [[STS-83]], [[STS-94]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Frank L. Culbertson, Jr.]] — [[STS-38]], [[STS-51]], [[STS-105]]/[[STS-108|108]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Walter Cunningham]] — [[Apollo 7]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Robert Curbeam]] — [[STS-85]], [[STS-98]], [[STS-116]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Nancy J. Currie]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-57]], [[STS-70]], [[STS-88]], [[STS-109]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[William H. Dana|Bill Dana]] — [[North American X-15|X-15]] flights 174 and 197,,,,,,,,,,,,,,
"*{{Flagicon|USA}} [[Nancy Jan Davis]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-47]], [[STS-60]], [[STS-85]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Lawrence J. DeLucas]] — [[STS-50]],,,,USA}},,,,,,,,,,
"*{{Flagicon|BEL}} [[Frank De Winne]] — [[Soyuz TMA-1]]/[[Soyuz TM-34|TM-34]], [[Soyuz TMA-15]]",,,,BEL}},,,,,,,,,,
*{{Flagicon|RUS}} [[Vladimir Dezhurov|Vladimir N. Dezhurov]] — [[Soyuz TM-21]]/[[STS-71]],,,,RUS}},,,,,,,,,,
*{{Flagicon|USSR}} [[Georgi Dobrovolski]] (1928–1971) † — Died in the [[Soyuz 11]] reentry depressurisation,,,,USSR},,,,,,,,,,
"*{{Flagicon|JPN}} [[Takao Doi]] — [[STS-87]], [[STS-123]]",,,,JPN}},,,,,,,,,,
*{{Flagicon|USA}} [[Matthew Dominick]] — No flights,,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[B. Alvin Drew]] — [[STS-118]], [[STS-133]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Pyotr Dubrov]] — [[Soyuz MS-18]],  [[Soyuz MS-19]]",,,,RUS}},,,,,,,,,,
