数据集（可能重复）,中文名,外文名,性别,国籍,出生日期（请小心bug）,逝世日期,逝世日期（请小心bug）,职业,毕业院校,地位或主要成就,重定向,载人航天任务时长,舱外任务时长,编辑状态
"*{{Flagicon|USA}} [[Kjell N. Lindgren]] — [[Soyuz TMA-17M]], [[SpaceX Crew-4]] (2022)",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Steven Lindsey]] — [[STS-87]], [[STS-95]], [[STS-104]], [[STS-121]], [[STS-133]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Jerry Linenger]] — [[STS-64]], [[STS-81]]/[[STS-84|84]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Richard Linnehan]] — [[STS-78]], [[STS-90]], [[STS-109]], [[STS-123]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Gregory Linteris]] — [[STS-83]], [[STS-94]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|CHN}} [[Liu Boming (astronaut)|Liu Boming]] — [[Shenzhou 7]], [[Shenzhou 12]]",,,,CHN}},,,,,,,,,,
*{{Flagicon|CHN}} [[Liu Wang]] — [[Shenzhou 9]],,,,CHN}},,,,,,,,,,
**(Yáng Lìwěi – see [[#Y|Yáng Lìwěi]]),,,,i – s,,,,,,,,,,
*{{Flagicon|USA}} [[Anthony Llewellyn]] — No flights,,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Paul Lockhart]] — [[STS-111]], [[STS-113]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Yuri Lonchakov]] — [[STS-100]], [[Soyuz TMA-1]]/[[Soyuz TM-34|TM-34]], [[Soyuz TMA-13]]",,,,RUS}},,,,,,,,,,
"*{{Flagicon|USA}} [[Michael Lopez-Alegria]] — [[STS-73]], [[STS-92]], [[STS-113]], [[Soyuz TMA-9]],  [[Axiom Mission 1]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Christopher Loria]] — No flights,,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[John Lounge]] — [[STS-51-I]], [[STS-26]], [[STS-35]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Jack Lousma]] — [[Skylab 3]], [[STS-3]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Stanley G. Love]] — [[STS-122]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Jim Lovell]] △ — [[Gemini 7]], [[Gemini 12]], [[Apollo 8]], [[Apollo 13]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[G. David Low]] (1956–2008) — [[STS-32]], [[STS-43]], [[STS-57]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Edward Lu]] — [[STS-84]], [[STS-106]], [[Soyuz TMA-2]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Shannon Lucid]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-51-G]], [[STS-34]], [[STS-43]], [[STS-58]], [[STS-76]]/[[STS-79|79]].",,,,USA}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Vladimir Lyakhov]] — [[Soyuz 32]]/[[Soyuz 34|34]], [[Soyuz T-9]], [[Soyuz TM-6]]/[[Soyuz TM-5|5]]",,,,USSR},,,,,,,,,,
*{{flagicon|GBR}} [[David Mackay (pilot)|David Mackay]] — [[VSS Unity VF-01]],,,,,,,,,,,,,,
"*{{Flagicon|CAN}} [[Steven MacLean (astronaut)|Steven MacLean]] — [[STS-52]], [[STS-115]]",,,,CAN}},,,,,,,,,,
"*{{Flagicon|USA}} [[Sandra Magnus]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-112]], [[STS-126]]/[[STS-119|119]], [[STS-135]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Oleg Grigoryevich Makarov|Oleg Makarov]] (1933–2003) — [[Soyuz 12]], [[Soyuz 18a]], [[Soyuz 27]]/[[Soyuz 26|26]], [[Soyuz T-3]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|RUS}} [[Yuri Malenchenko]] — [[Soyuz TM-19]], [[STS-106]], [[Soyuz TMA-2]], [[Soyuz TMA-11]], [[Soyuz TMA-05M]], [[Soyuz TMA-19M]]",,,,RUS}},,,,,,,,,,
*{{Flagicon|ITA}} [[Franco Malerba]] — [[STS-46]],,,,ITA}},,,,,,,,,,
*{{Flagicon|IND}} [[Ravish Malhotra]] — No flights. India's backup cosmonaut for the [[Intercosmos]] program.,,,,IND}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Yury Malyshev (cosmonaut)|Yuri Malyshev]] (1941–1999) — [[Soyuz T-2]], [[Soyuz T-11]]/[[Soyuz T-10|10]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USSR}} {{Flagicon|RUS}} [[Gennadi Manakov]] —  [[Soyuz TM-10]], [[Soyuz TM-16]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USSR}} [[Musa Manarov]] — [[Soyuz TM-4]]/[[Soyuz TM-6|6]], [[Soyuz TM-11]]",,,,USSR},,,,,,,,,,
*{{Flagicon|USA}} [[Nicole Aunapu Mann]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[SpaceX Crew-5]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Thomas Marshburn]], M.D. — [[STS-127]], [[Soyuz TMA-07M]], [[SpaceX Crew-3]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Michael Massimino]] — [[STS-109]], [[STS-125]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Richard Mastracchio]] — [[STS-106]], [[STS-118]], [[STS-131]], [[Soyuz TMA-11M]]",,,,USA}},,,,,,,,,,
*{{Flagicon|RUS}} [[Denis Matveev]] — [[Soyuz MS-21]],,,,RUS}},,,,,,,,,,
*{{Flagicon|USA}} [[Matthias Maurer]] — [[SpaceX Crew-3]],,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[VSS Unity VF-01|Michael Masucci]] — [[VSS Unity VF-01]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Ken Mattingly|Thomas Kenneth ""Ken"" Mattingly II]] △ — [[Apollo 16]], [[STS-4]], [[STS-51-C]].",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[K. Megan McArthur]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-125]], [[SpaceX Crew-2]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[William S. McArthur]] — [[STS-58]], [[STS-74]], [[STS-92]], [[Soyuz TMA-7]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Christa McAuliffe]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> (1948–1986)† — Died in the [[Space Shuttle Challenger disaster|''Challenger'' liftoff disintegration]],,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Jon McBride]] — [[STS-41-G]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Bruce McCandless II]] (1937–2017) — [[STS-41-B]], [[STS-31]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Anne McClain]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[Soyuz MS-11]].,,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[William C. McCool]] (1961–2003) † — Died in the [[Space Shuttle Columbia disaster|''Columbia'' reentry disintegration]] ([[STS-107]]),,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Michael J. McCulley]] — [[STS-34]],,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[John B. McKay]] (1922-1975) — [[North American X-15|X-15]] Flight 150 (awarded posthumously). The Flight 74 accident shortened his life.,,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[James McDivitt]] — [[Gemini 4]], [[Apollo 9]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Donald McMonagle]] — [[STS-39]], [[STS-54]], [[STS-66]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Ronald McNair]] (1950–1986) † — [[STS-41-B]]. Died in the [[Space Shuttle Challenger disaster|''Challenger'' liftoff disintegration]] ([[STS-51L]]).,,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Carl Meade]] — [[STS-38]], [[STS-50]], [[STS-64]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Jessica Meir]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[Soyuz MS-15]] ([[Expedition 61]]/[[Expedition 62|62]]). A member of the first all-female EVA team.,,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Bruce Melnick]] — [[STS-41]], [[STS-49]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Pamela Melroy]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-92]], [[STS-112]], [[STS-120]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Mike Melvill]] — [[SpaceShipOne flight 15P]] and [[SpaceShipOne flight 16P|16P]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Leland D. Melvin]] — [[STS-122]], [[STS-129]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|Germany}} [[Ulf Merbold]] — [[STS-9]], [[STS-42]], [[Soyuz TM-20]]/[[Soyuz TM-19|19]]",,,,Germa,,,,,,,,,,
*{{Flagicon|GER}} [[Ernst Messerschmid]] — [[STS-61-A]],,,,GER}},,,,,,,,,,
*{{Flagicon|USA}} [[Dorothy M. Metcalf-Lindenburger]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-131]],,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Curt Michel]] (1934–2015) — No flights,,,,USA}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Aleksandr Misurkin]] — [[Soyuz TMA-08M]], [[Soyuz MS-06]],  [[Soyuz MS-20]]",,,,RUS}},,,,,,,,,,
*{{Flagicon|USA}} [[Edgar Mitchell]] (1930–2016) △▲ — [[Apollo 14]],,,,USA}},,,,,,,,,,
*{{Flagicon|DEN}} [[Andreas Mogensen]] — [[Soyuz TMA-18M]],,,,DEN}},,,,,,,,,,
*{{Flagicon|USA}} [[Jasmin Moghbeli]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — No flights,,,,USA}},,,,,,,,,,
*{{Flagicon|AFG}} [[Abdul Ahad Mohmand]] — [[Soyuz TM-6]]/[[Soyuz TM-5|5]],,,,AFG}},,,,,,,,,,
"*{{Flagicon|JPN}} [[Mamoru Mohri]] — [[STS-47]], [[STS-99]]",,,,JPN}},,,,,,,,,,
*{{Flagicon|USA}} [[Andrew R. Morgan]] — [[Soyuz MS-13]],,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Barbara Morgan]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-118]],,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Lee Morin]] — [[STS-110]],,,,USA}},,,,,,,,,,
*{{Flagicon|RUS}} [[Boris Morukov]] (1950–2015) — [[STS-106]],,,,RUS}},,,,,,,,,,
*{{Flagicon|USA}} [[Beth Moses]] — [[VSS Unity VF-01]],,,,USA}},,,,,,,,,,
"*{{Flagicon|JPN}} [[Chiaki Mukai]], M.D.<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-65]], [[STS-95]]",,,,JPN}},,,,,,,,,,
"*{{Flagicon|USA}} [[Richard Mullane]] — [[STS-41-D]], [[STS-27]], [[STS-36]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USSR}} {{Flagicon|KAZ}}<!-- Musabayev was a Russian citizen during all of his spaceflights, but later gained Kazakh citizenship.--> [[Talgat Musabayev]] — [[Soyuz TM-19]], [[Soyuz TM-27]], [[Soyuz TM-32]]/[[Soyuz TM-31|31]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Story Musgrave]], M.D. — [[STS-6]], [[STS-51-F]], [[STS-33]], [[STS-44]], [[STS-61]], [[STS-80]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Steven R. Nagel]] — [[STS-51-G]], [[STS-61-A]], [[STS-37]], [[STS-55]]",,,,,,,,,,,,,,
"*{{Flagicon|USA}} [[George Nelson (astronaut)|George Nelson]] — [[STS-41-C]], [[STS-61-C]], [[STS-26]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USSR}} [[Grigori Nelyubov]] (1934–1966) — No flights. Vostok backup.,,,,USSR},,,,,,,,,,
*{{Flagicon|MEX}} [[Rodolfo Neri Vela]] — [[STS-61-B]],,,,MEX}},,,,,,,,,,
"*{{Flagicon|ITA}} [[Paolo A. Nespoli]] — [[STS-120]], [[Soyuz TMA-20]]",,,,ITA}},,,,,,,,,,
"*{{Flagicon|USA}} [[James H. Newman]] — [[STS-51]], [[STS-69]], [[STS-88]], [[STS-109]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|CHE}} [[Claude Nicollier]] — [[STS-46]], [[STS-61]], [[STS-75]], [[STS-103]]",,,,CHE}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Andriyan Nikolayev]] (1929–2004) — [[Vostok 3]], [[Soyuz 9]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|JPN}} [[Soichi Noguchi]] — [[STS-114]], [[Soyuz TMA-17]], [[SpaceX Crew-1]]",,,,JPN}},,,,,,,,,,
"*{{Flagicon|PER}} {{Flagicon|USA}} [[Carlos I. Noriega]] — [[STS-84]], [[STS-97]]",,,,PER}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Oleg Novitskiy]] — [[Soyuz TMA-06M]], [[Soyuz MS-18]]",,,,RUS}},,,,,,,,,,
*{{Flagicon|USA}} [[Lisa Nowak]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-121]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Karen Nyberg]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-124]], [[Soyuz TMA-09M]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Bryan O'Connor]] — [[STS-61-B]], [[STS-40]]",,,,USA,,,,,,,,,,
"*{{Flagicon|USA}} [[Ellen Ochoa]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-56]], [[STS-66]], [[STS-96]], [[STS-110]]",,,,USA}},,,,,,,,,,
*{{Flagicon|NLD}} [[Wubbo Ockels]] (1946–2014) — [[STS-61-A]],,,,NLD}},,,,,,,,,,
*{{Flagicon|USA}} [[William Oefelein]] — [[STS-116]],,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Loral O'Hara]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — No flights,,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Brian O'Leary]] — No flights,,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[John D. Olivas]] — [[STS-117]], [[STS-128]]",,,,USA}},,,,,,,,,,
*{{Flagicon|JPN}} [[Takuya Onishi]] — [[Expedition 48]]/[[Expedition 49|49]].,,,,JPN}},,,,,,,,,,
*{{Flagicon|USA}} [[Ellison Onizuka]] (1946–1986) † — [[STS-51-C]]. Died in the [[Space Shuttle Challenger disaster|''Challenger'' liftoff disintegration]] ([[STS-51L]]).,,,,USA}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Yuri Onufrienko]] — [[Soyuz TM-23]], [[STS-108]]/[[STS-111|111]]",,,,RUS}},,,,,,,,,,
"*{{Flagicon|USA}} [[Stephen Oswald]] — [[STS-42]], [[STS-56]], [[STS-67]]",,,,USA}},,,,,,,,,,
*{{Flagicon|RUS}} [[Aleksey Ovchinin]] — [[Soyuz TMA-20M]],,,,RUS}},,,,,,,,,,
"*{{Flagicon|USA}} [[Robert Overmyer]] (1936–1996) — [[STS-5]], [[STS-51-B]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Gennady Padalka]] — [[Soyuz TM-28]], [[Soyuz TMA-4]], [[Soyuz TMA-14]], [[Soyuz TMA-04M]], [[Soyuz TMA-16M]]",,,,,,,,,,,,,,
*{{Flagicon|USA}} [[William Pailes]] — [[STS-51-J]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Scott Parazynski]], M.D. — [[STS-66]], [[STS-86]], [[STS-95]], [[STS-100]], [[STS-120]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Ronald A. Parise]] (1951–2008) — [[STS-35]], [[STS-67]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Robert A. Parker|Robert Parker]] — [[STS-9]], [[STS-35]]",,,,USA}},,,,,,,,,,
*{{Flagicon|ITA}} [[Luca Parmitano]] — [[Soyuz TMA-09M]],,,,ITA}},,,,,,,,,,
"*{{Flagicon|GBR}} {{Flagicon|USA}} [[Nicholas Patrick]] — [[STS-116]], [[STS-130]]",,,,GBR}},,,,,,,,,,
*{{Flagicon|USSR}} [[Viktor Patsayev]] (1933–1971) † — Died in the [[Soyuz 11]] reentry depressurisation.,,,,USSR},,,,,,,,,,
*{{Flagicon|USA}} [[James Pawelczyk]] — [[STS-90]],,,,USA}},,,,,,,,,,
"*{{Flagicon|CAN}} [[Julie Payette]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-96]], [[STS-127]]",,,,CAN}},,,,,,,,,,
*{{Flagicon|USA}} [[Gary Payton (astronaut)|Gary Payton]] — [[STS-51-C]],,,,USA}},,,,,,,,,,
*{{Flagicon|GBR}} [[Timothy Peake]] — [[Soyuz TMA-19M]],,,,GBR}},,,,,,,,,,
"*{{Flagicon|FRA}} [[Philippe Perrin]], EAC — [[STS-111]]",,,,FRA}},,,,,,,,,,
"*{{Flagicon|FRA}} [[Thomas Pesquet]] — [[Soyuz MS-03]], [[SpaceX Crew-2]]",,,,FRA}},,,,,,,,,,
*{{Flagicon|USA}} [[Donald H. Peterson|Donald Peterson]] — [[STS-6]],,,,USA}},,,,,,,,,,
*{{Flagicon|RUS}} [[Dmitry Petelin]] — [[Soyuz MS-22]],,,,RUS}},,,,,,,,,,
"*{{Flagicon|USA}} [[Donald Pettit]] — [[STS-113]]/[[Soyuz TMA-1]], [[STS-126]], [[Soyuz TMA-03M]]",,,,USA}},,,,,,,,,,
*{{Flagicon|VNM}} [[Phạm Tuân]] — [[Soyuz 37]]/[[Soyuz 36|36]],,,,VNM}},,,,,,,,,,
"*{{Flagicon|USA}} [[John Phillips (astronaut)|John Phillips]] — [[STS-100]], [[Soyuz TMA-6]], [[STS-119]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[William Pogue]] (1930–2014) — [[Skylab 4]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Alan G. Poindexter]] (1961–2012) — [[STS-122]], [[STS-131]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Mark Polansky]] — [[STS-98]], [[STS-116]], [[STS-127]]",,,,USA}},,,,,,,,,,
*{{Flagicon|RUS}} [[Alexander Poleshchuk]] — [[Soyuz TM-16]],,,,RUS}},,,,,,,,,,
"*{{Flagicon|USSR}} {{Flagicon|RUS}} [[Valeri Polyakov]], M.D. — [[Soyuz TM-6]]/[[Soyuz TM-7|7]], [[Soyuz TM-18]]/[[Soyuz TM-20|20]]",,,,USSR},,,,,,,,,,
*{{Flagicon|BRA}} [[Marcos Pontes]] — [[Soyuz TMA-8]],,,,BRA}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Leonid Popov]] — [[Soyuz 35]]/[[Soyuz 37|37]], [[Soyuz 40]], [[Soyuz T-7]]/[[Soyuz T-5|5]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USSR}} [[Pavel Popovich]] (1930–2009) — [[Vostok 4]], [[Soyuz 14]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Charles Precourt]] — [[STS-55]], [[STS-71]], [[STS-84]], [[STS-91]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Sergey Prokopyev (cosmonaut)|Sergey Prokopyev]] — [[Soyuz MS-09]], [[Soyuz MS-22]]",,,,RUS}},,,,,,,,,,
*{{Flagicon|Socialist Republic of Romania}} [[Dumitru Prunariu]] — [[Soyuz 40]],,,,Socia,,,,,,,,,,
*{{Flagicon|ISR}} [[Ilan Ramon]] (1954–2003) — Died in the [[Space Shuttle Columbia disaster|''Columbia'' reentry disintegration]] ([[STS-107]]),,,,,,,,,,,,,,
"*{{Flagicon|USA}} [[William Readdy]] — [[STS-42]], [[STS-51]], [[STS-79]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Kenneth Reightler]] — [[STS-48]], [[STS-60]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[James F. Reilly]] — [[STS-89]], [[STS-104]], [[STS-117]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Garrett Reisman]] — [[STS-123]]/[[STS-124|124]], [[STS-132]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|GER}} [[Thomas Reiter]] — [[Soyuz TM-22]], [[STS-121]]/[[STS-116|116]] [[Expedition 13]]",,,,GER}},,,,,,,,,,
*{{Flagicon|CSK}} [[Vladimír Remek]] — [[Soyuz 28]],,,,CSK}},,,,,,,,,,
*{{Flagicon|USA}} [[Judith Resnik]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> (1949–1986)† — [[STS-41D]]. Died in the [[Space Shuttle Challenger disaster|''Challenger'' liftoff disintegration]] ([[STS-51L]]),,,,USA}},,,,,,,,,,
*{{Flagicon|RUS}} [[Sergei Revin]] — [[Soyuz TMA-04M]],,,,RUS}},,,,,,,,,,
*{{Flagicon|USA}} [[Paul W. Richards]] — [[STS-102]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Richard N. Richards]] — [[STS-28]], [[STS-41]], [[STS-50]], [[STS-64]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Sally Ride]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> (1951–2012) — [[STS-7]], [[STS-41-G]]. First American woman in space.",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Patricia Robertson]], M.D.<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> (1963–2001) — No flights",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Stephen Robinson]] — [[STS-85]], [[STS-95]], [[STS-114]], [[STS-130]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Russell L. Rogers]] (1928–1967) — No flights. Assigned to the [[Dyna Soar]] project.,,,,USA}},,,,,,,,,,
*{{Flagicon|RUS}} [[Roman Romanenko]] — [[Soyuz TMA-15]] [[Soyuz TMA-07M]],,,,RUS}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Yuri Romanenko]] — [[Soyuz 26]]/[[Soyuz 27|27]], [[Soyuz 38]], [[Soyuz TM-2]]/[[Soyuz TM-3|3]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Kent Rominger]] — [[STS-73]], [[STS-80]], [[STS-85]], [[STS-96]], [[STS-100]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Stuart Roosa]] (1933–1994) △ — [[Apollo 14]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Jerry L. Ross]] — [[STS-61-B]], [[STS-27]], [[STS-37]], [[STS-55]], [[STS-74]], [[STS-88]], [[STS-110]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USSR}} [[Valery Rozhdestvensky]] — [[Soyuz 23]],,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Kathleen Rubins|Kathleen (Kate) Rubins]] — ISS [[Expedition 48]], [[Expedition 49]], [[Soyuz MS-17]]",,,,USA}},,,,,,,,,,
*{{Flagicon|US}} [[Francisco Rubio (astronaut)|Francisco Rubio]] — [[Soyuz MS-22]],,,,US}} ,,,,,,,,,,
"*{{Flagicon|USSR}} [[Nikolay Rukavishnikov]] (1932–2002) — [[Soyuz 10]], [[Soyuz 16]], [[Soyuz 33]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Mario Runco, Jr.]] — [[STS-44]], [[STS-54]], [[STS-77]]",,,,USA}},,,,,,,,,,
*{{Flagicon|RUS}} [[Sergey Ryazansky|Sergei Ryazanski]] — [[Soyuz TMA-10M]],,,,RUS}},,,,,,,,,,
"*{{Flagicon|USSR}} {{Flagicon|RUS}} [[Valery Ryumin]] (1939–2022) — [[Soyuz 25]], [[Soyuz 32]]/[[Soyuz 34|34]], [[Soyuz 35]]/[[Soyuz 37|37]], [[STS-91]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|RUS}} [[Sergey Ryzhikov (cosmonaut)|Sergey Ryzhikov]] — [[Soyuz MS-02]], [[Soyuz MS-17]]",,,,RUS}},,,,,,,,,,
*{{Flagicon|USA}} [[Albert Sacco]] — [[STS-73]],,,,USA,,,,,,,,,,
*{{Flagicon|CAN}} [[David Saint-Jacques]] — [[Soyuz MS-11]].,,,,CAN}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Aleksandr Samokutyayev]] — [[Soyuz TMA-21]], [[Soyuz TMA-14M]]",,,,RUS}},,,,,,,,,,
*{{Flagicon|USSR}} [[Gennadi Sarafanov]] (1942–2005) — [[Soyuz 15]],,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Robert Satcher]], M.D. — [[STS-129]]",,,,USA}},,,,,,,,,,
*{{Flagicon|KSA}} [[Sultan bin Salman bin Abdulaziz Al Saud]] — [[STS-51-G]],,,,KSA}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Viktor Savinykh]] — [[Soyuz T-4]], [[Soyuz T-13]]/[[Soyuz T-14|14]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USSR}} [[Svetlana Savitskaya]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[Soyuz T-7]]/[[Soyuz T-5|5]], [[Soyuz T-12]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Wally Schirra]] (1923–2007) — [[Mercury-Atlas 8|Mercury 8]], [[Gemini 6A]], [[Apollo 7]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|GER}} [[Hans Schlegel]] — [[STS-55]], [[STS-122]]",,,,GER}},,,,,,,,,,
*{{Flagicon|USA}} [[Harrison Schmitt]] △▲ — [[Apollo 17]],,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Rusty Schweickart]] — [[Apollo 9]],,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Dick Scobee]] (1939–1986) † — [[STS-41-C]]. Died in the [[Space Shuttle Challenger disaster|''Challenger'' liftoff disintegration]] ([[STS-51L]]).,,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[David Scott]] △▲ — [[Gemini 8]], [[Apollo 9]], [[Apollo 15]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Winston E. Scott|Winston Scott]] — [[STS-72]], [[STS-87]]",,,,USA}},,,,,,,,,,
*{{Flagicon|AUS}} {{Flagicon|USA}} [[Paul D. Scully-Power|Paul Scully-Power]] — [[STS-41-G]],,,,AUS}},,,,,,,,,,
"*{{Flagicon|USA}} [[Richard Searfoss]] (1956–2018) — [[STS-58]], [[STS-76]], [[STS-90]]",,,,USA}},,,,,,,,,,
